Week Num,Location,Set,Bottle,Date,Time,Sample Type,F (mg/L),CL (mg/L),NO2 (mg/L),NO3 (mg/L),SO4 (mg/L),SIO2 (mg/L),NH3 (mg/L),SRP (mg/L),TP (mg/L),TKN (mg/L),SS (mg/L),NPOC (mg/L),TN (mg/L),COND (mჾ)
9,MBG,RW,12,11/25/22,1200,SAMPLE,0.43,83,0.29,0,102,-9,0.0255,-0.0034,0.0647,0.763,8.82,-9,-9,-9
9,MBG,RW,13,11/26/22,1200,SAMPLE,0.43,82.4,0.29,0,101.3,-9,0.0295,-0.0026,0.0689,0.78,9.24,-9,-9,-9
9,MBG,RW,14,11/27/22,1200,SAMPLE,0.42,80,0.3,0,98,-9,0.0295,-0.0033,0.069,0.808,10.55,-9,-9,-9
9,MBG,RW,24,11/28/22,0910,BOTH,0.52,76.8,0.34,0.34,87.4,-9,0.0304,-0.0016,0.1117,0.967,19.74,-9,-9,-9
10,MBG,RC,1,11/28/22,1200,SAMPLE,0.55,73.1,0,0.56,84.4,0.9416,0.0724,0.0044,0.1302,1.035,-9,8.88,1.633,-9
10,MBG,RC,4,11/29/22,1200,SAMPLE,0.58,73.6,0,0.67,96.5,2.0012,0.0657,0.0152,0.1122,0.996,-9,6.83,1.804,-9
10,MBG,RC,7,11/30/22,1200,SAMPLE,0.61,81,0,0.52,106.1,2.187,0.0438,0.0245,0.1261,0.925,-9,6.733,1.692,-9
10,MBG,RC,10,12/01/22,1200,SAMPLE,0.47,59.8,0,0.73,73.8,2.524,0.0363,0.0227,0.1126,1.045,-9,6.894,1.993,-9
10,MBG,RC,13,12/02/22,1200,SAMPLE,0.56,69.5,0,1.24,86,2.4418,0.0311,0.0275,0.108,0.896,-9,6.796,2.517,-9
10,MBG,RC,16,12/03/22,1200,SAMPLE,0.57,73.1,0,0.96,89.4,1.8309,0.0245,0.0198,0.1224,0.909,-9,7.485,2.215,-9
10,MBG,RC,19,12/04/22,1200,SAMPLE,0.58,73,0,1.04,92.8,2.0595,0.0265,0.0236,0.1006,0.831,-9,8.274,2.264,-9
10,MBG,RC,24,12/05/22,0923,BOTH,0.56,76,0,1.09,98.1,2.291,0.0537,0.0213,0.0887,0.883,-9,6.463,2.197,-9
11,MBG,RU,1,12/05/22,1200,SAMPLE,0.51,74.2,0,0.92,94.8,2.264,0.047,0.0164,0.0899,0.921,11.59,6.73,2.152,-9
11,MBG,RU,4,12/06/22,1200,SAMPLE,0.51,76.7,0,0.9,98.3,2.4568,0.047,0.0205,0.0957,0.862,3.42,6.799,2.26,-9
11,MBG,RU,7,12/07/22,1200,SAMPLE,0.51,78,0,0.94,98.1,2.3123,0.0462,0.0241,0.1041,0.906,6,7.08,2.307,-9
